city,hab
Amsterdam,934927
Rotterdam,671125
Den-Haag,565701
Utrecht,374411
Eindhoven,246443
Groningen,243833
Tilburg,229797
Almere,226630
Breda,188217
Nijmegen,187011
Apeldoorn,168212
Haarlem,167763
Arnhem,167651
Haarlemmermeer,163196
Amersfoort,161825
Enschede,161741
Zaanstad,161429
Den-Bosch,160740
Zwolle,133133
Leiden,130181
Leeuwarden,128857
Zoetermeer,128424
Maastricht,125203
Ede,123489
Dordrecht,122089
Westland,115984
Alphen-aan-den-Rijn,114968
Alkmaar,112311
Delft,109573
Emmen,109361
Venlo,103785
Deventer,103402
